t1,key1,t2,key2,reduce,time
25000,18,35000,23,39,44108
25000,18,35000,23,40,42117
30000,16,50000,6,1,80117
30000,16,50000,6,2,50112
30000,16,50000,6,3,40125
30000,16,50000,6,4,38113
30000,16,50000,6,5,40111
30000,16,50000,6,6,34172
30000,16,50000,6,7,36117
30000,16,50000,6,8,34109
30000,16,50000,6,9,34110
30000,16,50000,6,10,36119
30000,16,50000,6,11,36660
30000,16,50000,6,12,38187
30000,16,50000,6,13,34120
30000,16,50000,6,14,40115
30000,16,50000,6,15,36113
30000,16,50000,6,16,36108
30000,16,50000,6,17,36108
30000,16,50000,6,18,38110
30000,16,50000,6,19,36120
30000,16,50000,6,20,36119
30000,16,50000,6,21,36123
30000,16,50000,6,22,38113
30000,16,50000,6,23,38102
30000,16,50000,6,24,38112
30000,16,50000,6,25,38106
30000,16,50000,6,26,40119
30000,16,50000,6,27,40413
30000,16,50000,6,28,42115
30000,16,50000,6,29,42106
30000,16,50000,6,30,42113
30000,16,50000,6,31,42124
30000,16,50000,6,32,44123
30000,16,50000,6,33,44115
30000,16,50000,6,34,44124
30000,16,50000,6,35,42116
30000,16,50000,6,36,44107
30000,16,50000,6,37,44131
30000,16,50000,6,38,46135
30000,16,50000,6,39,46169
30000,16,50000,6,40,46114
35000,23,35000,23,1,52127
35000,23,35000,23,2,36173
35000,23,35000,23,3,32113
35000,23,35000,23,4,30122
35000,23,35000,23,5,26113
35000,23,35000,23,6,28112
35000,23,35000,23,7,28111
35000,23,35000,23,8,28108
35000,23,35000,23,9,30119
35000,23,35000,23,10,30116
35000,23,35000,23,11,30622
35000,23,35000,23,12,32119
35000,23,35000,23,13,32122
35000,23,35000,23,14,32121
35000,23,35000,23,15,32124
35000,23,35000,23,16,34114
35000,23,35000,23,17,34412
35000,23,35000,23,18,34118
35000,23,35000,23,19,34124
35000,23,35000,23,20,34124
35000,23,35000,23,21,36119
35000,23,35000,23,22,36117
35000,23,35000,23,23,40121
35000,23,35000,23,24,36121
35000,23,35000,23,25,38126
35000,23,35000,23,26,38131
35000,23,35000,23,27,38116
35000,23,35000,23,28,38113
35000,23,35000,23,29,40113
35000,23,35000,23,30,40118
35000,23,35000,23,31,42115
35000,23,35000,23,32,40110
35000,23,35000,23,33,42119
35000,23,35000,23,34,42118
35000,23,35000,23,35,42119
35000,23,35000,23,36,44120
35000,23,35000,23,37,42126
35000,23,35000,23,38,42118
35000,23,35000,23,39,46112
35000,23,35000,23,40,46140
40000,22,40000,22,1,66106
40000,22,40000,22,2,44121
40000,22,40000,22,3,36110
40000,22,40000,22,4,32108
40000,22,40000,22,5,30115
40000,22,40000,22,6,30131
40000,22,40000,22,7,30121
40000,22,40000,22,8,30117
40000,22,40000,22,9,30117
40000,22,40000,22,10,32110
40000,22,40000,22,11,32124
40000,22,40000,22,12,32114
40000,22,40000,22,13,34178
40000,22,40000,22,14,32123
40000,22,40000,22,15,36119
40000,22,40000,22,16,34110
40000,22,40000,22,17,34124
40000,22,40000,22,18,34353
40000,22,40000,22,19,36120
40000,22,40000,22,20,36121
40000,22,40000,22,21,38111
40000,22,40000,22,22,38127
40000,22,40000,22,23,38115
40000,22,40000,22,24,38122
40000,22,40000,22,25,40111
40000,22,40000,22,26,40125
40000,22,40000,22,27,38112
40000,22,40000,22,28,40111
40000,22,40000,22,29,42124
40000,22,40000,22,30,40122
40000,22,40000,22,31,42126
40000,22,40000,22,32,42123
40000,22,40000,22,33,42115
40000,22,40000,22,34,44115
40000,22,40000,22,35,44133
40000,22,40000,22,36,46119
40000,22,40000,22,37,44127
40000,22,40000,22,38,46184
40000,22,40000,22,39,48116
40000,22,40000,22,40,46126
40000,22,65000,16,1,96119
40000,22,65000,16,2,58125
40000,22,65000,16,3,48125
40000,22,65000,16,4,40230
40000,22,65000,16,5,38114
40000,22,65000,16,6,36121
40000,22,65000,16,7,34115
40000,22,65000,16,8,34111
40000,22,65000,16,9,34397
40000,22,65000,16,10,36120
40000,22,65000,16,11,38130
40000,22,65000,16,12,40126
40000,22,65000,16,13,40113
40000,22,65000,16,14,40131
40000,22,65000,16,15,40115
40000,22,65000,16,16,40122
40000,22,65000,16,17,40129
40000,22,65000,16,18,42127
40000,22,65000,16,19,42121
40000,22,65000,16,20,42126
40000,22,65000,16,21,40111
40000,22,65000,16,22,42177
40000,22,65000,16,23,40116
40000,22,65000,16,24,42124
40000,22,65000,16,25,44180
40000,22,65000,16,26,44130
40000,22,65000,16,27,42147
40000,22,65000,16,28,44125
40000,22,65000,16,29,44172
40000,22,65000,16,30,46115
40000,22,65000,16,31,46109
40000,22,65000,16,32,48122
40000,22,65000,16,33,46123
40000,22,65000,16,34,48112
40000,22,65000,16,35,48112
40000,22,65000,16,36,48123
40000,22,65000,16,37,48119
40000,22,65000,16,38,48115
40000,22,65000,16,39,50108
40000,22,65000,16,40,50110
50000,6,50000,6,1,300144
50000,6,50000,6,2,164130
50000,6,50000,6,3,116130
50000,6,50000,6,4,118126
50000,6,50000,6,5,112130
50000,6,50000,6,6,70128
50000,6,50000,6,7,72198
50000,6,50000,6,8,70117
50000,6,50000,6,9,74331
50000,6,50000,6,10,74132
50000,6,50000,6,11,70129
50000,6,50000,6,12,72378
50000,6,50000,6,13,74121
50000,6,50000,6,14,76117
50000,6,50000,6,15,72614
50000,6,50000,6,16,74120
50000,6,50000,6,17,76182
50000,6,50000,6,18,74138
50000,6,50000,6,19,74132
50000,6,50000,6,20,74138
50000,6,50000,6,21,74142
50000,6,50000,6,22,76114
50000,6,50000,6,23,74118
50000,6,50000,6,24,74119
50000,6,50000,6,25,76129
50000,6,50000,6,26,74125
50000,6,50000,6,27,74130
50000,6,50000,6,28,76118
50000,6,50000,6,29,76124
50000,6,50000,6,30,76164
50000,6,50000,6,31,82227
50000,6,50000,6,32,76194
50000,6,50000,6,33,78117
50000,6,50000,6,34,78127
50000,6,50000,6,35,80486
50000,6,50000,6,36,76141
50000,6,50000,6,37,78289
50000,6,50000,6,38,80127
50000,6,50000,6,39,76114
50000,6,50000,6,40,78124
